Date,lon,lat
2009-08-31,-145.8167,34.4333
2009-09-07,-144.9000,36.5000
2009-09-07,-143.4833,37.9667
2009-09-07,-157.3833,27.5667
2009-09-07,-157.3500,30.9500
2009-09-08,-156.9333,33.4000
2009-09-09,-153.2500,34.5000
2009-09-13,-149.8833,35.4167
2009-09-13,-146.3333,36.0000
2009-09-13,-142.0833,36.5000
2009-09-17,-138.9167,37.1667
2009-09-17,-138.9000,37.1500
2009-09-18,-148.5395,36.2700
2009-09-18,-139.8972,35.6247
2009-09-18,-136.7717,35.4010
2009-09-19,-159.5167,22.4217
2009-09-19,-159.4667,24.6667
2009-09-24,-158.3032,27.4852
2009-09-24,-157.5991,32.3460
2009-09-25,-155.8267,33.9533
2009-09-25,-152.5333,35.8667
2009-09-25,-148.6533,37.0717
2009-09-26,-142.1500,36.1333
2009-09-26,-139.4417,35.5483
2009-09-26,-136.8200,34.8083
2009-09-27,-133.7417,34.5883
2009-09-27,-131.5350,34.7433
2009-09-27,-129.1617,34.6683
2009-09-27,-158.0152,31.6442
2009-09-27,-158.1481,33.1199
2009-09-28,-158.0500,33.6833
2009-10-07,-157.9833,34.0500
2009-11-09,-157.5833,35.5667
2009-11-09,-157.4000,35.4167
2009-12-07,-155.8867,34.4279
2009-12-07,-155.5300,33.8850
2009-12-07,-154.5000,33.2667
2009-12-07,-154.2500,33.3667
2009-12-08,-152.7967,32.3608
2010-01-02,-151.3663,32.3193
2010-01-04,-148.6780,33.8843
2010-01-08,-147.2349,34.9017
2010-01-08,-146.0215,35.7317
2010-01-08,-141.4937,35.5930
2010-01-08,-153.1667,35.1167
2010-01-08,-151.9000,37.2667
2010-01-08,-150.8167,36.9833
2010-01-08,-149.3000,36.9000
2010-01-08,-146.0833,37.1667
2010-01-09,-162.1567,34.2300
2010-01-09,-162.3583,40.1867
2010-01-12,-161.3617,41.8767
2010-01-13,-158.7833,44.1433
2010-01-13,-156.2833,27.2333
2010-01-13,-155.3667,29.0500
